,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6882,1039056273725056552,https://www.airbnb.com/rooms/1039056273725056552,20240928012050,2024-09-28,previous scrape,Cute and artsy apartment,"A clean, cozy, and bright apartment with a small balcony in the center of Oslo. It has big windows, a kitchen, a bathroom, and an open bedroom-solution. <br /><br />You are within walking distance of the hip restaurants and clubs at Grunerløkka, Fredensborg, and St.Hanshaugen. Enjoy a coffee at Java or a glass of organic wine at Merkur or Rouleur.<br /><br />Public transportation is 2 minutes away. <br />The castle and the main shopping streets: 15-minute walk or 5 minutes by bus.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAzOTA1NjI3MzcyNTA1NjU1Mg%3D%3D/original/64e75ce5-7467-4a1e-ae2f-74a66607fbcb.jpeg,66931920,https://www.airbnb.com/users/show/66931920,Fredrik,2016-04-12,"Oslo, Norway",,within a day,100%,50%,f,https://a0.muscache.com/im/pictures/user/User-66931920/original/cc41fb9a-c747-4c35-b1d1-0289e946f336.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-66931920/original/cc41fb9a-c747-4c35-b1d1-0289e946f336.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,St. Hanshaugen,,59.9267801,10.7491449,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Wine glasses"", ""Cooking basics"", ""Clothing storage"", ""Blender"", ""Body soap"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Iron"", ""Hot water"", ""Wifi"", ""Hot water kettle"", ""Baking sheet"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Toaster"", ""Oven"", ""Kitchen"", ""Stove""]",,4,10,4,4,1125,1125,4.0,1125.0,,t,0,0,0,0,2024-09-28,1,1,0,2024-08-12,2024-08-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.63
6891,1039891836461688462,https://www.airbnb.com/rooms/1039891836461688462,20240928012050,2024-09-28,city scrape,Apartment for short term rental,A bed room in a sharerd apartment available in Oslo city center equipped with all basic amenities.,,https://a0.muscache.com/pictures/hosting/Hosting-1039891836461688462/original/34e52258-c9c0-42c0-8a2d-d89e46c66285.jpeg,141365191,https://www.airbnb.com/users/show/141365191,Amrinder,2017-07-19,,,within a day,80%,0%,f,https://a0.muscache.com/im/pictures/user/fb49ebb2-0137-4b34-919f-a31216963d1d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fb49ebb2-0137-4b34-919f-a31216963d1d.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,St. Hanshaugen,,59.93443,10.73567,Private room in rental unit,Private room,1,0.5,Half-bath,1.0,1.0,"[""Wine glasses"", ""Body soap"", ""Long term stays allowed"", ""Refrigerator"", ""Hot tub"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bathtub"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Free dryer \u2013 In building"", ""Coffee maker"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Mini fridge"", ""Central heating"", ""Microwave"", ""Oven"", ""Lock on bedroom door"", ""Kitchen"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Shampoo""]",$650.00,30,50,30,30,50,50,30.0,50.0,,t,4,24,54,234,2024-09-28,0,0,0,,,,,,,,,,,f,1,0,1,0,
6900,1040420258022816140,https://www.airbnb.com/rooms/1040420258022816140,20240928012050,2024-09-28,city scrape,Super nice small apartment,Small nice apartment with room for three for short stays in Oslo. Close to subway and skiing.,,https://a0.muscache.com/pictures/hosting/Hosting-1040420258022816140/original/43aac29c-593f-4f45-95ba-e3bc14a82f3b.jpeg,443297396,https://www.airbnb.com/users/show/443297396,Jonas,2022-02-02,"Oslo, Norway",,within a day,86%,73%,f,https://a0.muscache.com/im/pictures/user/c287eced-155d-45dd-862c-b32989a32f7c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c287eced-155d-45dd-862c-b32989a32f7c.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,,Vestre Aker,,59.94572797831935,10.647729746997356,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Wifi"", ""TV"", ""Kitchen"", ""Smoke alarm""]",$914.00,2,15,2,2,15,15,2.0,15.0,,t,2,2,2,67,2024-09-28,4,4,0,2024-03-04,2024-05-06,4.75,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0,0.57
6901,1040607866991335717,https://www.airbnb.com/rooms/1040607866991335717,20240928012050,2024-09-28,city scrape,Cozy apartment room in Frogner,"Peaceful central accommodation in 3 min from Solli Square/Sommerro quarter. Walking distance to absolutely all restaurants, Flytoget (Nationaltheatret station), Vigelandsparken, the Opera, Aker Brygge, the Royal Norwegian Castle, etc. kitchen and microwave, Bedroom. Double bed, bathroom.<br />The buldingin the most fashionable neighbourhood. Bakeries, shops, pubs and restaurants is very close.",,https://a0.muscache.com/pictures/miso/Hosting-1040607866991335717/original/97328f97-b479-41a6-831f-b1e9e813ae4d.jpeg,22306137,https://www.airbnb.com/users/show/22306137,Moe,2014-10-08,"Oslo, Norway",,within a day,50%,0%,f,https://a0.muscache.com/im/pictures/user/User-22306137/original/328735c4-0d49-483c-b9e3-8b2324b0c273.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-22306137/original/328735c4-0d49-483c-b9e3-8b2324b0c273.jpeg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,,Frogner,,59.9173043,10.7092092,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""TV"", ""Fire extinguisher"", ""Wifi"", ""Lock on bedroom door"", ""Kitchen"", ""Washer"", ""Smoke alarm""]",$454.00,30,90,30,30,90,90,30.0,90.0,,t,0,0,26,31,2024-09-28,0,0,0,,,,,,,,,,,f,1,0,1,0,
6903,1040627467323177389,https://www.airbnb.com/rooms/1040627467323177389,20240928012050,2024-09-28,previous scrape,Leilighet nærme St. Hanshaugen.,"Simple and peaceful accommodation, which is centrally located.",,https://a0.muscache.com/pictures/cc053156-147f-48ed-86a4-91df311bbaa1.jpg,248614238,https://www.airbnb.com/users/show/248614238,Hanna,2019-03-13,"Oslo, Norway",,within a day,100%,67%,f,https://a0.muscache.com/im/pictures/user/c9b496f0-b910-4a36-98ad-a15a0f7d379f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c9b496f0-b910-4a36-98ad-a15a0f7d379f.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,St. Hanshaugen,,59.9343962781892,10.74414912611246,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Bed linens"", ""TV"", ""Cooking basics"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Dishes and silverware"", ""Essentials"", ""Dishwasher"", ""Kitchen"", ""Cleaning products"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Heating""]",,3,9,3,3,9,9,3.0,9.0,,t,0,0,0,0,2024-09-28,1,1,0,2024-06-30,2024-06-30,4.0,5.0,5.0,4.0,5.0,5.0,4.0,,f,1,1,0,0,0.33
6918,1042557207849626301,https://www.airbnb.com/rooms/1042557207849626301,20240928012050,2024-09-28,city scrape,Charming Oslo home,"Stay in a historic Oslo townhouse with brick walls and lots of charm, in the middle of Grønland/Tøyen. The apartment is located in the inner courtyard and is therefore very peaceful, despite the central location only 10 min walk from Oslo S. In the immediate vicinity you will find grocery stores, wine monopoly, restaurants, bars, swimming spots, shopping and bus/tram/subway.<br /><br />A perfect spot to find tranquility in the heart of Oslo!",,https://a0.muscache.com/pictures/hosting/Hosting-1042557207849626301/original/71aa4415-a4cd-4677-8a9f-290c2a35ca34.jpeg,192552743,https://www.airbnb.com/users/show/192552743,Vilde Smeby,2018-05-30,"Oslo, Norway",,within a day,100%,43%,f,https://a0.muscache.com/im/pictures/user/c527e54e-64dc-4a94-8770-e2257e33ebf0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c527e54e-64dc-4a94-8770-e2257e33ebf0.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Gamle Oslo,,59.9141363872245,10.766229741275309,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Dishes and silverware"", ""Backyard"", ""Indoor fireplace"", ""Kitchen"", ""Outdoor dining area"", ""Paid parking on premises"", ""Washer"", ""Dedicated workspace"", ""Refrigerator"", ""Smoke alarm"", ""Heating""]","$1,271.00",6,18,4,4,18,18,4.0,18.0,,t,29,59,89,179,2024-09-28,3,3,1,2023-12-29,2024-09-09,5.0,5.0,5.0,5.0,5.0,4.67,4.67,,f,1,1,0,0,0.33
6921,1042878090154231823,https://www.airbnb.com/rooms/1042878090154231823,20240928012050,2024-09-28,city scrape,Leilighet på vakre Torshov,"Cozy two bedroom apartment at upper Torshov. The apartment is located in the beautiful and quiet Søylegården. Tram, subway and bus are in the immediate vicinity and take you to Oslo city center in 15 minutes. <br /><br />The apartment is two bedroom, with separate kitchen. In the living room there is a daybed that is easily turned out to double. The bathroom is of an older standard, which is reflected in the price 🛁",,https://a0.muscache.com/pictures/31c93759-661f-4ab5-8c0a-9337a10fc159.jpg,550247063,https://www.airbnb.com/users/show/550247063,Marte,2023-12-09,"Oslo, Norway",,within a day,100%,58%,t,https://a0.muscache.com/im/pictures/user/User-550247063/original/ced5a804-f4a1-4b19-bbca-483abfc45b99.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-550247063/original/ced5a804-f4a1-4b19-bbca-483abfc45b99.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Sagene,,59.9395376,10.7753273,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,0.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""Shared backyard"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hair dryer"", ""Baking sheet"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Central heating"", ""Oven"", ""Pets allowed"", ""Kitchen"", ""Washer \u2013\u00a0In building"", ""Dining table""]",$550.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,2,3,2024-09-28,14,14,1,2024-02-08,2024-09-16,4.93,4.93,5.0,5.0,5.0,4.86,5.0,,f,1,1,0,0,1.79
6926,1043482548066359809,https://www.airbnb.com/rooms/1043482548066359809,20240928012050,2024-09-28,previous scrape,Leilighet sentralt på Bislett.,"Rent out my cozy little apartment in Bislett. It has one bedroom, bathroom and open kitchen living room solution. <br />No party/ smoke/ animals allowed.",,https://a0.muscache.com/pictures/hosting/Hosting-1043482548066359809/original/ac6c72eb-3971-481f-9cdd-bc5d768e9878.jpeg,118987287,https://www.airbnb.com/users/show/118987287,Silje,2017-03-03,"Oslo, Norway","Jeg er en jente på 32 år, bor i ledigheten alene og jobber som office manager. Er en ordentlig og ryddig person.",within a day,100%,,f,https://a0.muscache.com/im/pictures/user/User-118987287/original/3521389a-a2e7-4847-968d-82344f31e7e3.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-118987287/original/3521389a-a2e7-4847-968d-82344f31e7e3.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,St. Hanshaugen,,59.92817100725266,10.730379305516148,Entire condo,Entire home/apt,2,,1 bath,1.0,,"[""Hangers"", ""Fire extinguisher"", ""Dryer \u2013 In building"", ""Wifi"", ""Elevator"", ""Heating"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen"", ""Paid parking on premises"", ""Smoke alarm"", ""Washer \u2013\u00a0In unit"", ""TV with standard cable""]",,3,365,1,1,365,365,1.0,365.0,,t,0,0,0,0,2024-09-28,0,0,0,,,,,,,,,,,t,1,1,0,0,
6932,1044115790374220675,https://www.airbnb.com/rooms/1044115790374220675,20240928012050,2024-09-28,city scrape,Moderne leilighet på Tonsenhagen,"Relax in this serene, stylish flat at Tonsenhagen. Nestled in a tranquil environment, the apartment offers easy access to public transportation for a quick journey to the city center. Nearby, you'll find grocery stores, cafes, cultural facilities, and beautiful natural areas, offering fantastic opportunities for outdoor activities. Enjoy Netflix, and Viaplay on the smart TV. There is free parking at street level, and the option to park in a heated garage with access to charger. You are welcome!",,https://a0.muscache.com/pictures/hosting/Hosting-1044115790374220675/original/26360479-1cfb-4852-8e24-baa52a11065f.jpeg,372232370,https://www.airbnb.com/users/show/372232370,Henrik,2020-10-16,"Oslo, Norway",,within a day,100%,51%,t,https://a0.muscache.com/im/pictures/user/54a79fc0-a9a5-44cd-a660-5e98b65dc4d9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/54a79fc0-a9a5-44cd-a660-5e98b65dc4d9.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Bjerke,,59.94797,10.8259,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Clothing storage"", ""Body soap"", ""Air conditioning"", ""Free street parking"", ""Freezer"", ""Free parking on premises"", ""Lake access"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Coffee maker"", ""TV"", ""Wifi"", ""Hair dryer"", ""Outdoor dining area"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]","$1,193.00",1,25,1,1,25,25,1.0,25.0,,t,8,10,10,10,2024-09-28,22,22,3,2023-12-31,2024-09-16,5.0,5.0,4.95,4.91,4.95,4.95,5.0,,f,2,2,0,0,2.42
6939,1044853075632524439,https://www.airbnb.com/rooms/1044853075632524439,20240928012050,2024-09-28,city scrape,"Nice two-bedroom apartment, in central Grunerløkka","Welcome to a charming flat in the vibrant heart of Grünerløkka! Great for accommodating 4 guests, this cozy apartment is tastefully furnished, with a fully equipped kitchen, comfy living space, and two nice bedrooms. <br /><br />The apartment is  located centrally at Grünerlokka, with plenty of restaurants, cafés and bars around every corner. The apartment is ideal for families or a group of friends, and is a great basis for exploring all that Oslo has to offer. Welcome!",,https://a0.muscache.com/pictures/hosting/Hosting-1044853075632524439/original/51cbde15-391a-4587-94b8-b5d4a547da2f.jpeg,86561253,https://www.airbnb.com/users/show/86561253,Håkon,2016-07-28,"Oslo, Norway",,within a day,83%,81%,t,https://a0.muscache.com/im/pictures/user/User-86561253/original/c9bd30ad-e043-4c7c-ba13-30d7bb621b7b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-86561253/original/c9bd30ad-e043-4c7c-ba13-30d7bb621b7b.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Grünerløkka,,59.92466180440414,10.758342370390892,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Cooking basics"", ""Other electric stove"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""Shared backyard"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Single oven"", ""Washer"", ""Drying rack for clothing"", ""Hot water"", ""TV"", ""Wifi"", ""Baking sheet"", ""Self check-in"", ""Smoke alarm"", ""Dishwasher"", ""Coffee maker: french press, pour-over coffee"", ""Heating"", ""Hangers"", ""Private entrance"", ""Paid street parking off premises"", ""Kitchen"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee""]","$1,500.00",3,365,1,3,365,365,3.0,365.0,,t,9,26,49,223,2024-09-28,25,25,4,2024-02-22,2024-09-20,4.84,4.84,4.56,5.0,5.0,4.96,4.96,,f,1,1,0,0,3.41
6942,1045386204232901622,https://www.airbnb.com/rooms/1045386204232901622,20240928012050,2024-09-28,previous scrape,Nyoppusset leilighet nær sentrum,"Welcome to my newly refurbished (1 bedroom) apartment: 54 sqm with 7 sqm balcony. Central location, 10 min to the centre with subway or bus. <br /><br />Close to Hovindammen, 3 grocery stores within 5 min walk. Renovated in May 2023 with modern appliances, underfloor heating in living room and kitchen. <br /><br />Rent includes hot water and electricity. Excellent public transport offer by subway and bus. <br /><br />Experience the best of city life and relaxing moments in your own retreat. <br /><br />Book now for a memorable experience in Oslo!",,https://a0.muscache.com/pictures/hosting/Hosting-1045386204232901622/original/46fa7314-5401-439c-aa52-c098b0adc2c3.jpeg,105453591,https://www.airbnb.com/users/show/105453591,Charlotte,2016-11-28,,,within a day,100%,68%,f,https://a0.muscache.com/im/pictures/user/62bc45d2-02b0-4d62-9310-b3b222e9ff9c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/62bc45d2-02b0-4d62-9310-b3b222e9ff9c.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Grünerløkka,,59.92301285157008,10.795136739947772,Entire condo,Entire home/apt,3,,1 bath,1.0,,"[""Wine glasses"", ""Radiant heating"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Free street parking"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""Smart lock"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Hockey rink"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Self check-in"", ""Clothing storage: closet, wardrobe, and dresser"", ""Pocket wifi"", ""Cleaning products"", ""Paid parking on premises"", ""Shared gym nearby"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Board games"", ""Hangers"", ""Private entrance"", ""Paid street parking off premises"", ""Central heating"", ""Toaster"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",,4,365,4,4,365,365,4.0,365.0,,t,0,0,0,0,2024-09-28,10,10,0,2024-02-08,2024-07-19,4.9,5.0,4.9,5.0,5.0,4.8,4.9,,f,1,1,0,0,1.28
6945,1045643378525058247,https://www.airbnb.com/rooms/1045643378525058247,20240928012050,2024-09-28,city scrape,Modern apartment - Frogner/Skillebekk,A modern and great apartment with a central location in a safe and sought-after area. The apartment is 46 square meters and has everything you need for a  good stay.<br /><br />Key information about the apartment:<br />- Living room with sofa and TV<br />- Dining table with room for 4 people<br />- 160cm bed<br />- Bedroom closet space<br />- Essential kitchen utensils<br />- Dishwasher<br />- Balcony <br />- Heaters<br />- Duvet and pillows with freshly laundered linens<br />- Towel (2 large and one small)<br />- Two door rolls,,https://a0.muscache.com/pictures/miso/Hosting-1045643378525058247/original/4ada6334-3401-46d1-995d-1844a0e3501a.jpeg,72815222,https://www.airbnb.com/users/show/72815222,Axel,2016-05-19,"Sandvika, Norway","Fluent in English, French and Norwegian.

Axel R. Wahl on LinkedIn if you have any questions.",within a day,100%,88%,f,https://a0.muscache.com/im/pictures/user/User-72815222/original/621556db-13ab-4344-81b8-fbfc6805d1a5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-72815222/original/621556db-13ab-4344-81b8-fbfc6805d1a5.jpeg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Frogner,,59.9121443,10.7110502,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""TV"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Paid parking on premises"", ""Washer"", ""Exterior security cameras on property"", ""Piano"", ""Smoke alarm""]","$1,050.00",7,365,7,7,365,365,7.0,365.0,,t,8,16,29,73,2024-09-28,4,4,0,2024-01-01,2024-08-07,5.0,5.0,5.0,5.0,5.0,4.75,4.25,,f,1,1,0,0,0.44
6951,1046399703031867692,https://www.airbnb.com/rooms/1046399703031867692,20240928012050,2024-09-28,city scrape,Condo in Tøyen Gamle Oslo,"Peaceful and warm 38 sqm, 1-bedroom apartment in Tøyen (Gamle Oslo). Despite its central location, this cozy retreat provides a comforting escape with a fully-equipped kitchen, allowing you to prepare meals with ease.<br /><br />The apartment is just 3-5 minutes away from both bus and subway stations, offering quick access to Oslo S, Grønland and the Barcode district. Nearby, explore Klosterenga, Botanical Garden and Tøyen Torg - with plenty grocery stores, restaurants, cafes, and more.",,https://a0.muscache.com/pictures/miso/Hosting-1046399703031867692/original/ef460bd0-d3b0-4ef2-8b60-10762d7fa9a5.jpeg,2794577,https://www.airbnb.com/users/show/2794577,Jeton,2012-07-01,"Oslo, Norway","I run an audiovisual production company based in Oslo, Norway",within a day,50%,85%,t,https://a0.muscache.com/im/pictures/user/User-2794577/original/0079dd3d-1cff-4bda-8eab-f8a2c0c9c7eb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-2794577/original/0079dd3d-1cff-4bda-8eab-f8a2c0c9c7eb.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Gamle Oslo,,59.91333067307512,10.77610690576797,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Radiant heating"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Books and reading material"", ""65 inch HDTV"", ""Fire extinguisher"", ""Electric stove"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Samsung Bluetooth sound system"", ""Hair dryer"", ""Hot water kettle"", ""Baking sheet"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Toaster"", ""Shower gel"", ""Oven"", ""Pets allowed"", ""Kitchen"", ""Ethernet connection"", ""Portable fans"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee"", ""Shampoo""]",$850.00,28,150,28,28,150,150,28.0,150.0,,t,0,9,39,134,2024-09-28,19,19,0,2024-03-03,2024-08-27,4.74,4.79,4.37,5.0,4.95,4.47,4.79,,f,1,1,0,0,2.71
6967,1049834807650306088,https://www.airbnb.com/rooms/1049834807650306088,20240928012050,2024-09-28,city scrape,"Beautiful apartment,very central","Beautiful, spacious (~100 sqm) and newly renovated 2-bedroom apartment in a quiet but yet very central part of Oslo. The street is famous for its many trees and beautiful small gardens.The area is quiet, but still only three blocks from one of the main shopping streets in Oslo, where you find restaurants, cafes and stores. Apartment is only a 3 minute walk from one of the main subway stations of Oslo, as well as being close to the famous Vigelandsparken",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA0OTgzNDgwNzY1MDMwNjA4OA%3D%3D/original/a74d24f0-0be4-4f29-8bbb-8afe25721ef6.jpeg,158829887,https://www.airbnb.com/users/show/158829887,Ingrid,2017-11-15,"Oslo, Norway",,within a day,90%,15%,f,https://a0.muscache.com/im/pictures/user/User-158829887/original/e954c9e7-8eb3-4539-b31b-31c177ae69d7.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-158829887/original/e954c9e7-8eb3-4539-b31b-31c177ae69d7.jpeg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Frogner,,59.92978197870562,10.72035290300846,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Other stove"", ""Room-darkening shades"", ""Cooking basics"", ""Body soap"", ""Indoor fireplace"", ""Dedicated workspace"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""BBQ grill"", ""Washer"", ""Iron"", ""Piano"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Board games"", ""Toaster"", ""Oven"", ""Coffee maker: drip coffee maker"", ""Kitchen"", ""Outdoor furniture"", ""Sound system"", ""Shampoo""]","$1,786.00",2,365,2,2,365,365,2.0,365.0,,t,29,59,89,360,2024-09-28,4,4,0,2024-02-13,2024-08-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.52
