,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4665,891973665490028079,https://www.airbnb.com/rooms/891973665490028079,20240928012050,2024-09-28,city scrape,Supercentral studio apartment,"Studio apartment 17 m2 with your own private bathroom. Mini-kitchen in the room with fridge , kettle and microwave. The studio is private, the only part shared is the entrance. <br />Sleeping arrangements: 1 double bed and 1 single bed<br /><br />Super location in the middle of Majorstuen - one of the safest areas in Oslo, with a beautiful shopping street (Bogstadveien) 2 minutes from the apartment. You could also walk down to the city.<br /><br />Improvements 2024: <br />Installed new light-blocking blinds in June 2024",,https://a0.muscache.com/pictures/miso/Hosting-891973665490028079/original/359ca532-a69e-482b-bae7-553c0f5f54be.jpeg,470404180,https://www.airbnb.com/users/show/470404180,Camilla,2022-07-19,"Oslo, Norway",,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/e7b3a37f-b2bf-4735-b8c6-cc3f94c1111c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e7b3a37f-b2bf-4735-b8c6-cc3f94c1111c.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Frogner,,59.92862522110888,10.721084607714683,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Freezer"", ""Trash compactor"", ""Long term stays allowed"", ""Bed linens"", ""Safe"", ""Dishes and silverware"", ""Lockbox"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Self check-in"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Mini fridge"", ""Microwave"", ""Kitchen"", ""Portable heater"", ""Shower gel"", ""Dining table"", ""Shampoo""]",$871.00,2,730,2,3,1125,1125,2.0,1125.0,,t,25,29,29,29,2024-09-28,32,28,3,2023-05-18,2024-09-10,4.31,4.31,4.59,4.34,4.78,4.88,4.31,,t,1,1,0,0,1.92
4718,896302607237805424,https://www.airbnb.com/rooms/896302607237805424,20240928012050,2024-09-28,city scrape,View of city and the Oslo fjord,"This is an apartment in a quiet area and you see the whole city from both balcony, bedroom and living room.<br /><br />There is a double bed (220 cm) and a cot (175 cm.). Beyond that, I can set up a crib and of course you can make up the couch for a child there, but that's not a perfect solution.",Quiet residential area.,https://a0.muscache.com/pictures/miso/Hosting-896302607237805424/original/a6d6830d-f5d3-45b6-ba6b-ee23924157c4.jpeg,515820423,https://www.airbnb.com/users/show/515820423,Endre,2023-05-21,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/4d478971-15c3-46e3-83b2-c6a87c98943f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d478971-15c3-46e3-83b2-c6a87c98943f.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Nordre Aker, Oslo, Norway",Nordre Aker,,59.953791,10.7780527,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,3.0,"[""Wine glasses"", ""Patio or balcony"", ""Miele electric stove"", ""Cooking basics"", ""City skyline view"", ""Essentials"", ""Body soap"", ""Indoor fireplace"", ""Free street parking"", ""Freezer"", ""Clothing storage: wardrobe and dresser"", ""Dedicated workspace"", ""Refrigerator"", ""Standalone high chair - always at the listing"", ""Free parking on premises"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Bathtub"", ""Crib - always at the listing"", ""Washer"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""TV"", ""Ocean view"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Cleaning available during stay"", ""Outdoor dining area"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Sea view"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Miele stainless steel oven"", ""Extra pillows and blankets"", ""Dining table"", ""Shampoo""]","$1,053.00",2,1125,2,2,1125,1125,2.0,1125.0,,t,15,38,61,311,2024-09-28,22,18,5,2023-07-16,2024-09-23,4.95,5.0,4.73,5.0,5.0,4.86,4.91,,t,1,1,0,0,1.5
4724,896483414806578014,https://www.airbnb.com/rooms/896483414806578014,20240928012050,2024-09-28,city scrape,room2,"Cozy room, kitchen living room, shower, toilet, balcony, green courtyard. paved road, 700 m to bus and metro. <br />ATTENTION: A room with a black wardrobe.",Manglerod,https://a0.muscache.com/pictures/0c2140c8-90e4-4f18-ad6a-52f696f0cbed.jpg,418823791,https://www.airbnb.com/users/show/418823791,Timurs,2021-08-17,"Oslo, Norway",,within an hour,90%,100%,f,https://a0.muscache.com/im/pictures/user/b13a7a41-c3f1-4e80-943f-bb7eb47bfb03.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b13a7a41-c3f1-4e80-943f-bb7eb47bfb03.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Bydel Østensjø, Oslo, Norway",Østensjø,,59.90049939999999,10.8196456,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Clothing storage"", ""Essentials"", ""Blender"", ""Body soap"", ""Outdoor furniture"", ""Freezer"", ""Long term stays allowed"", ""Free parking on premises"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Bikes"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Washer"", ""Iron"", ""Shared patio or balcony"", ""Hot water kettle"", ""Baking sheet"", ""Pocket wifi"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Bread maker"", ""Smoke alarm"", ""Heating"", ""Microwave"", ""Toaster"", ""Host greets you"", ""Oven"", ""Lock on bedroom door"", ""Barbecue utensils"", ""Kitchen"", ""Extra pillows and blankets"", ""Stove"", ""Dining table""]",$551.00,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,118,2024-09-28,42,41,0,2023-06-06,2024-08-21,4.4,4.52,4.57,4.71,4.57,4.45,4.48,,t,1,0,1,0,2.62
4749,897830186774210724,https://www.airbnb.com/rooms/897830186774210724,20240928012050,2024-09-28,city scrape,Great apartment in the heart of Oslo!,"Charming apartment in the middle of Oslo.<br /><br />Here you will find everything you need to have a pleasant and comfortable stay.<br />The apartment has two bedrooms, kitchen, living room and bathroom.<br /><br />The apartment is located in the heart of Oslo and is a short distance from grocery stores, public transport, shopping streets, a fitness center and beautiful parks.<br /><br />We provide towels, sheets, toilet paper and basic cooking items. <br /><br />Welcome!",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODk3ODMwMTg2Nzc0MjEwNzI0/original/05cb9a45-dc88-49ad-9540-c2b84b59c18a.jpeg,516015667,https://www.airbnb.com/users/show/516015667,Edonis,2023-05-22,"Oslo, Norway",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-516015667/original/f1d7d49e-4fbc-45cd-8069-df0b5537c7ae.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-516015667/original/f1d7d49e-4fbc-45cd-8069-df0b5537c7ae.png?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,,Grünerløkka,,59.91894,10.76391,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""Books and reading material"", ""Smart lock"", ""Bed linens"", ""Standalone high chair"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib - available upon request"", ""Record player"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Free washer \u2013 In unit"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Bluetooth sound system"", ""Coffee maker"", ""TV"", ""Arcade games"", ""Hot water kettle"", ""Hair dryer"", ""Game console"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Self check-in"", ""Rice maker"", ""Cleaning products"", ""Single level home"", ""Smoke alarm"", ""Fast wifi \u2013 102 Mbps"", ""Dishwasher"", ""Board games"", ""Hangers"", ""Mini fridge"", ""Clothing storage: closet"", ""Microwave"", ""Outdoor playground"", ""Toaster"", ""Shower gel"", ""Bosch induction stove"", ""Oven"", ""Pets allowed"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Paid parking lot on premises"", ""Portable heater"", ""Ethernet connection"", ""Portable fans"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Dining table"", ""Coffee"", ""Shampoo""]","$2,673.00",3,1125,1,3,1125,1125,2.6,1125.0,,t,4,20,26,250,2024-09-28,55,24,3,2023-05-26,2024-09-26,5.0,4.98,4.95,4.98,4.98,4.89,4.95,,t,1,1,0,0,3.35
4757,897918002973488899,https://www.airbnb.com/rooms/897918002973488899,20240928012050,2024-09-28,city scrape,Koselig soverom på Grünerløkka,"Cozy small bedroom (without kitchen) with everything you need in the room: airfryer, kettle, MINI fridge (only 2 liters, see photo), cups and tea and coffee. Cosy backyard with benches, tables, lawn, patio. <br />Close to public transport, cafes, restaurants, food shops and the teeming life at Grünerløkka. Rodeløkka with its picturesque old wooden houses next door. Short distance to the botanical garden and many parks. Walking distance to the city center. <br />Bed linen and towels included. <br /><br />We will do what we can for you to thrive!",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODk3OTE4MDAyOTczNDg4ODk5/original/f1cb950d-aab4-4ab4-8a57-513da3df4b21.jpeg,80859117,https://www.airbnb.com/users/show/80859117,Anna Katarina,2016-06-30,"Oslo, Norway","I am a nature-lover and have lived most of my life in nature. I am a schoolgarden teacher at a Waldorfschool/ Steinerschool. I am a vegetarian and love meditation, yoga, outdoor life and travelling. I am happy to meet new people. I will do what I can to make you feel at home!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-80859117/original/377204bd-9a93-4a8a-a427-bd6ff2addf78.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-80859117/original/377204bd-9a93-4a8a-a427-bd6ff2addf78.jpeg?aki_policy=profile_x_medium,,2,6,"['email', 'phone']",t,t,,Grünerløkka,,59.92409679999999,10.7738845,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Wine glasses"", ""Room-darkening shades"", ""City skyline view"", ""Clothing storage"", ""Outdoor furniture"", ""Body soap"", ""Dedicated workspace"", ""First aid kit"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Iron"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Board games"", ""Hammock"", ""Lock on bedroom door"", ""Backyard"", ""Keypad"", ""Extra pillows and blankets"", ""Shampoo""]",$531.00,2,62,1,3,1125,1125,2.0,1125.0,,t,0,1,9,82,2024-09-28,14,14,4,2024-06-27,2024-09-11,5.0,5.0,5.0,4.93,5.0,5.0,4.93,,t,2,0,2,0,4.47
4791,899225067313164528,https://www.airbnb.com/rooms/899225067313164528,20240928012050,2024-09-28,city scrape,Ambassador’s Apartment in Frogner,"Super central location in the embassy district of Oslo. Large apartment for up to two. Walking distance to Aker Brygge, Solli and the castle.<br /><br />Great this to within 10 min walking distance:<br />- Have breakfast at neighboring Åpent Bakeri<br />- Go for a swim at Vestkantbadet<br />- Go walk/run a in Vigelandsparken og to Bygdøy<br />- Have a cocktail at Sommerro<br />- Go clubbing at BA3 or Ivy<br />- Invite your girls out for drinks at Libertine<br />- Visit the Fine Art Museum, the National Museum, or the Astrum Fearnley Museum",,https://a0.muscache.com/pictures/miso/Hosting-899225067313164528/original/c95f7741-bd8d-4ea2-8624-949461631388.jpeg,53288695,https://www.airbnb.com/users/show/53288695,Isak Rathe,2016-01-04,"Oslo, Norway","Hey, I am hosting my apartment after great successes when going abroad myself and with first guests. Look forward to hosting for people from all corners of the world. 

This summer I getting co-hosting help from two near friends and we all look forward to hosting you!

Best,
Isak",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-53288695/original/7f31e9cf-6461-462e-bb4f-91538ccdd0f2.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-53288695/original/7f31e9cf-6461-462e-bb4f-91538ccdd0f2.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Frogner,,59.9132291,10.7065493,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Indoor fireplace"", ""Dedicated workspace"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bathtub"", ""Washer"", ""Iron"", ""Hot water"", ""Wifi"", ""Private patio or balcony"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Smoke alarm"", ""Central heating"", ""Private hot tub"", ""Kitchen"", ""Free dryer \u2013 In unit""]","$2,500.00",1,365,1,1,365,365,1.0,365.0,,t,3,3,3,3,2024-09-28,8,4,1,2023-06-08,2024-08-31,4.88,4.88,4.63,5.0,5.0,5.0,4.75,,t,1,1,0,0,0.5
4836,901194259336859960,https://www.airbnb.com/rooms/901194259336859960,20240928012050,2024-09-28,city scrape,Luxury apartment in luxury area,"This apartment is in the heart of everything in the best area in Oslo. Next to Munch museum, the Opera, the Opera beach and is only a 5 minute walk from the central station. The apartment has a very high standard and will make you enjoy visiting Oslo. There are 2 bedrooms with a dubbelbed for 2 persons in each bedroom. Also the sofa in the livingroom can be made up for 2 persons. In addition to the balcon in the apartment you can enjoy the rooftop with spectacular views of the city.",,https://a0.muscache.com/pictures/miso/Hosting-901194259336859960/original/10f39f8e-1efb-4af6-ba29-d7e0754a44f5.jpeg,19527562,https://www.airbnb.com/users/show/19527562,Lars Thomas,2014-08-05,"Oslo, Norway",36 year old man who works in finance.,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/19d8ce9c-d036-4f1d-93b6-fdd4047cd527.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/19d8ce9c-d036-4f1d-93b6-fdd4047cd527.jpg?aki_policy=profile_x_medium,Sentrum,2,2,"['email', 'phone', 'work_email']",t,t,,Gamle Oslo,,59.907213186623466,10.759160444140432,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Central heating"", ""Microwave"", ""Toaster"", ""Siemens stainless steel single oven"", ""Clothing storage: closet and wardrobe"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Dining table"", ""Coffee""]","$2,000.00",1,365,1,1,1125,1125,1.0,1125.0,,t,17,21,27,206,2024-09-28,75,52,7,2023-06-08,2024-09-19,4.96,4.93,4.97,4.96,4.97,4.96,4.85,,t,2,2,0,0,4.7
4865,901984995541020532,https://www.airbnb.com/rooms/901984995541020532,20240928012050,2024-09-28,city scrape,"Nydelig leilighet på St Hanshaugen, med parkering","Simple and peaceful accommodation, which is centrally located. With free parking.","Quiet, central and straight with park.",https://a0.muscache.com/pictures/2f12770a-c926-460a-a4ce-fca5ec35aa04.jpg,53691003,https://www.airbnb.com/users/show/53691003,Jostein,2016-01-07,"Oslo, Norway",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/65200158-dd93-4e75-baf5-b7c6969145aa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/65200158-dd93-4e75-baf5-b7c6969145aa.jpg?aki_policy=profile_x_medium,St. Hanshaugen,2,4,"['email', 'phone']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.92352,10.73779,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,0.0,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Fire pit"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Dishes and silverware"", ""Bathtub"", ""BBQ grill"", ""Washer"", ""Iron"", ""Piano"", ""Drying rack for clothing"", ""Hot water"", ""Courtyard view"", ""TV"", ""Wifi"", ""Private patio or balcony"", ""Cleaning available during stay"", ""Free driveway parking on premises"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Private entrance"", ""Backyard"", ""Window guards"", ""Kitchen"", ""Ethernet connection"", ""Outdoor furniture"", ""Dining table""]","$1,912.00",1,365,1,1,1125,1125,1.0,1125.0,,t,30,60,90,90,2024-09-28,2,0,0,2023-06-08,2023-07-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,2,2,0,0,0.13
4874,902088365857476997,https://www.airbnb.com/rooms/902088365857476997,20240928012050,2024-09-28,previous scrape,Stylish apartment in the heart of Grünerløkka,"The apartment has a spacious and very well-equipped kitchen, where you can cook and at the same time enjoy life from the streets outside. The kitchen flows into a bright and open dining area, where it is nice to enjoy good food and drinks late into the night. The sofa is perfect for enjoying a good movie after a long walk along Akerselva.<br />The bedroom faces a quiet and cool backyard. The perfect spot for a cup of coffee in the morning, or a movie on the projector at night.","Grünerløkka offers countless restaurants, bars and cafes. This is the perfect place for vintage shopping, and every Sunday there is a market at Birkelunden.<br />Akerselva is only a few minutes away, here it is nice to go for a walk and sit down at one of the bars or restaurants along the river. There are lots of parks to choose from, if you want to relax or sunbathe a bit. In Markveien you will find clothing stores such as Ganni, Holzweiler, Acne etc.",https://a0.muscache.com/pictures/miso/Hosting-902088365857476997/original/885f1de8-06f6-47dc-8cf7-16701cfe6fd7.jpeg,148725539,https://www.airbnb.com/users/show/148725539,Christine,2017-09-01,"Oslo, Norway",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-148725539/original/dc697407-bd50-4fab-9e4d-e100a05cd4b3.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-148725539/original/dc697407-bd50-4fab-9e4d-e100a05cd4b3.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.9247259,10.7599114,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Wine glasses"", ""Radiant heating"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Record player"", ""Dishes and silverware"", ""Shampoo"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Bluetooth sound system"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Paid street parking off premises"", ""Shower gel"", ""Oven"", ""Coffee maker: drip coffee maker"", ""Clothing storage: closet and wardrobe"", ""Backyard"", ""Kitchen"", ""Pets allowed"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee"", ""Garden view""]",,3,28,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-09-28,27,4,0,2023-06-08,2024-08-04,4.96,5.0,4.96,4.85,5.0,5.0,4.96,,t,1,1,0,0,1.69
4879,902129150068395703,https://www.airbnb.com/rooms/902129150068395703,20240928012050,2024-09-28,city scrape,Sjarmerende sentrumsleilighet,"This special place is close to everything, making it easy to plan your visit.",,https://a0.muscache.com/pictures/hosting/Hosting-902129150068395703/original/faadf44a-76ed-4ea8-b4cc-72ae0fa85b3d.jpeg,25830246,https://www.airbnb.com/users/show/25830246,Maiken,2015-01-09,"Oslo, Norway",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/7b4a0a8b-96b7-46cc-b918-e3f6a6dfc7cd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/7b4a0a8b-96b7-46cc-b918-e3f6a6dfc7cd.jpeg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,Gamle Oslo,,59.9045435875593,10.766691416502,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Waterfront"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Fast wifi \u2013 146 Mbps"", ""BBQ grill"", ""Iron"", ""Park view"", ""Hot water"", ""Conditioner"", ""Courtyard view"", ""Coffee maker"", ""Annet induction stove"", ""Ocean view"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Harbor view"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Kitchen"", ""Paid valet parking on premises"", ""Resort access"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Shampoo""]","$1,500.00",2,10,2,2,1125,1125,2.0,1125.0,,t,30,60,90,90,2024-09-28,18,12,1,2023-08-14,2024-09-04,4.72,4.72,4.94,4.72,4.94,4.83,4.78,,t,1,1,0,0,1.31
4904,902409506823581191,https://www.airbnb.com/rooms/902409506823581191,20240928012050,2024-09-28,city scrape,Koselig sted,"From this place in a perfect location, you'll have easy access to everything.<br />All included plus kitchen equipment<br />Furnished☺️",,https://a0.muscache.com/pictures/miso/Hosting-902409506823581191/original/f594d7c4-5240-4d88-a429-040fe8259b55.jpeg,517247308,https://www.airbnb.com/users/show/517247308,Sozan,2023-05-29,,,,,,f,https://a0.muscache.com/im/pictures/user/User-517247308/original/8258981a-1af6-49b5-a26c-40225ee9807f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-517247308/original/8258981a-1af6-49b5-a26c-40225ee9807f.jpeg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Sagene,,59.9429173,10.7625307,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Washer"", ""Body soap"", ""Smoke alarm""]","$2,000.00",5,365,5,5,365,365,5.0,365.0,,t,30,60,90,90,2024-09-28,3,0,0,2023-06-08,2023-07-03,3.33,3.67,3.67,3.67,3.67,4.67,3.33,,t,1,1,0,0,0.19
4972,904981078976550249,https://www.airbnb.com/rooms/904981078976550249,20240928012050,2024-09-28,city scrape,Sentral og koselig leilighet,"The apartment is located in a venerable classic townhouse just above Alexander Kiellandsplass.  20 min walk to Oslo S. Just outside is 21 and 54 and 34 bus.  There are plenty of grocery stores, restaurants, shops and cafes in my neighborhood. This is a fun busy area not far from the city center where you can feel like you are home.",The space is in the neighborhood of St. Hanshaugen in the area that is considered the transition between the east and west edge of Oslo. The space with the surrounding area is the core of Ila.,https://a0.muscache.com/pictures/miso/Hosting-904981078976550249/original/3be783af-d70f-4e8c-ac45-22985ff2c070.jpeg,24672059,https://www.airbnb.com/users/show/24672059,Julia,2014-12-09,"Oslo, Norway",,within an hour,100%,90%,f,https://a0.muscache.com/im/users/24672059/profile_pic/1418166615/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/24672059/profile_pic/1418166615/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.929593,10.7488202,Entire condo,Entire home/apt,3,1.0,1 bath,3.0,2.0,"[""Hangers"", ""Exercise equipment"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Beach view"", ""Indoor fireplace"", ""Kitchen"", ""Outdoor dining area"", ""Washer"", ""Iron"", ""Dedicated workspace"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Dryer"", ""Smoke alarm"", ""Hot water"", ""Courtyard view""]","$1,200.00",4,30,4,4,1125,1125,4.0,1125.0,,t,0,0,0,55,2024-09-28,11,7,0,2023-08-12,2024-08-23,4.73,4.82,4.45,4.91,5.0,4.82,4.82,,t,1,1,0,0,0.8
